GeneID;Gene;Base mean;log2(FC);StdErr;Wald-Stats;P-value;P-adj;;;;;;;;;;;
ENSG00000275025;AC002401.3;22,1363249;-1,45607428;0,362656846;-4,015019425;5,94E-05;0,000192155;;;;;;;;;;;
ENSG00000137707;BTG4;7,515951552;-1,455983141;0,375102725;-3,881558422;0,000103789;0,000325496;;;;;;;;;;;
ENSG00000111700;SLCO1B3;4513,10825;-1,455634374;0,054282619;-26,81584631;2,11E-158;2,90E-156;;;;;;;;;;;
ENSG00000167315;ACAA2;4394,39617;-1,454723803;0,052295347;-27,81746127;2,67E-170;4,18E-168;;;;;;;;;;;
ENSG00000234520;HRAT17;29,51102262;-1,454599281;0,338310577;-4,299597412;1,71E-05;5,84E-05;;;;;;;;;;;
ENSG00000110195;FOLR1;358,7503635;-1,454398033;0,137788385;-10,55530215;4,80E-26;5,13E-25;;;;;;;;;;;
ENSG00000154080;CHST9;81,60663268;-1,453412063;0,252554389;-5,754847782;8,67E-09;3,96E-08;;;;;;;;;;;
ENSG00000159588;CCDC17;588,1881255;-1,452933354;0,113207865;-12,83420861;1,05E-37;1,63E-36;;;;;;;;;;;
ENSG00000171860;C3AR1;106,8585828;-1,452856332;0,227908202;-6,374743523;1,83E-10;9,40E-10;;;;;;;;;;;
ENSG00000087253;LPCAT2;5694,034662;-1,452430785;0,052524843;-27,65226341;2,62E-168;4,03E-166;;;;;;;;;;;
ENSG00000116329;OPRD1;55,43526212;-1,45046341;0,287483422;-5,045381055;4,53E-07;1,80E-06;;;;;;;;;;;
ENSG00000100156;SLC16A8;47,60614107;-1,450050689;0,29741724;-4,87547625;1,09E-06;4,17E-06;;;;;;;;;;;
ENSG00000084636;COL16A1;1017,78243;-1,449496121;0,084359897;-17,1822889;3,60E-66;1,21E-64;;;;;;;;;;;
ENSG00000173338;KCNK7;59,82438578;-1,446739338;0,287961217;-5,02407703;5,06E-07;2,00E-06;;;;;;;;;;;
ENSG00000241322;CDRT1;276,433398;-1,446385955;0,16028144;-9,024038952;1,81E-19;1,50E-18;;;;;;;;;;;
ENSG00000261456;TUBB8;18,6840266;-1,446069598;0,376794764;-3,837817659;0,000124133;0,000384476;;;;;;;;;;;
ENSG00000278177;AL354811.1;66,3074347;-1,444626848;0,268794107;-5,374473652;7,68E-08;3,26E-07;;;;;;;;;;;
ENSG00000276855;AC015922.3;330,1771346;-1,443038755;0,141702534;-10,18357759;2,35E-24;2,38E-23;;;;;;;;;;;
ENSG00000118407;FILIP1;49,71380252;-1,441171739;0,31718994;-4,54356068;5,53E-06;1,98E-05;;;;;;;;;;;
ENSG00000121691;CAT;10014,49719;-1,441088286;0,045041028;-31,9950129;1,28E-224;2,98E-222;;;;;;;;;;;
ENSG00000163431;LMOD1;57,37634943;-1,440987672;0,308847746;-4,665689463;3,08E-06;1,13E-05;;;;;;;;;;;
ENSG00000140961;OSGIN1;2446,029826;-1,43911985;0,06913994;-20,81459506;3,19E-96;1,85E-94;;;;;;;;;;;
ENSG00000118849;RARRES1;37,81957879;-1,438077359;0,328523591;-4,377394503;1,20E-05;4,16E-05;;;;;;;;;;;
ENSG00000219607;PPP1R3G;307,0679215;-1,436112595;0,141879111;-10,12208623;4,41E-24;4,40E-23;;;;;;;;;;;
ENSG00000266261;AC005324.5;254,3018901;-1,432533392;0,15581627;-9,193734308;3,79E-20;3,24E-19;;;;;;;;;;;
ENSG00000161544;CYGB;357,9063882;-1,432441246;0,137861095;-10,39046761;2,74E-25;2,86E-24;;;;;;;;;;;
ENSG00000054983;GALC;6184,416739;-1,432021165;0,058692416;-24,39874284;1,76E-131;1,70E-129;;;;;;;;;;;
ENSG00000073756;PTGS2;1006,027008;-1,429769486;0,096790558;-14,77178679;2,23E-49;4,86E-48;;;;;;;;;;;
ENSG00000124225;PMEPA1;13360,47813;-1,421643443;0,043549165;-32,64456282;9,57E-234;2,37E-231;;;;;;;;;;;
ENSG00000237978;KCNMB2-AS1;19,14817191;-1,420767767;0,379642981;-3,742378596;0,000182287;0,000551578;;;;;;;;;;;
ENSG00000248323;LUCAT1;764,3880356;-1,420352695;0,105514696;-13,46118362;2,65E-41;4,58E-40;;;;;;;;;;;
ENSG00000264672;SEPT4-AS1;139,6765645;-1,416905845;0,227244757;-6,23515307;4,51E-10;2,26E-09;;;;;;;;;;;
ENSG00000149380;P4HA3;1253,767194;-1,416167944;0,084701192;-16,71957519;9,44E-63;2,94E-61;;;;;;;;;;;
ENSG00000275223;AL121906.2;72,25903432;-1,414812307;0,26342902;-5,370753416;7,84E-08;3,32E-07;;;;;;;;;;;
ENSG00000101695;RNF125;973,7480307;-1,411774262;0,100443925;-14,05534738;7,14E-45;1,38E-43;;;;;;;;;;;
ENSG00000197405;C5AR1;25,96859993;-1,41161235;0,348596046;-4,049421579;5,13E-05;0,000167192;;;;;;;;;;;
ENSG00000197471;SPN;190,5630915;-1,411190003;0,186290112;-7,575227623;3,58E-14;2,30E-13;;;;;;;;;;;
ENSG00000095752;IL11;9585,998092;-1,410088315;0,040250625;-35,03270606;7,15E-269;2,31E-266;;;;;;;;;;;
ENSG00000159314;ARHGAP27;45,63563803;-1,409987109;0,355684936;-3,964146257;7,37E-05;0,000235642;;;;;;;;;;;
ENSG00000112299;VNN1;97,28807336;-1,408229108;0,236046994;-5,965884514;2,43E-09;1,16E-08;;;;;;;;;;;
ENSG00000048342;CC2D2A;2775,257361;-1,407614353;0,059278632;-23,74572944;1,22E-124;1,06E-122;;;;;;;;;;;
ENSG00000186792;HYAL3;1227,456193;-1,406234807;0,087625958;-16,04815321;5,89E-58;1,61E-56;;;;;;;;;;;
ENSG00000235718;MFRP;113,0242832;-1,404627607;0,210714428;-6,666024812;2,63E-11;1,42E-10;;;;;;;;;;;
ENSG00000137843;PAK6;1185,7011;-1,404610288;0,079154148;-17,74525186;1,88E-70;6,81E-69;;;;;;;;;;;
ENSG00000081051;AFP;24,41374932;-1,403220025;0,375401329;-3,737919708;0,000185549;0,000560943;;;;;;;;;;;
ENSG00000136490;LIMD2;2071,901685;-1,403084711;0,063804715;-21,99029826;3,57E-107;2,41E-105;;;;;;;;;;;
ENSG00000223953;C1QTNF5;113,2172345;-1,401500722;0,209705054;-6,683199564;2,34E-11;1,27E-10;;;;;;;;;;;
